@RELATION GENERIC
@ATTRIBUTE demo1 REAL
@ATTRIBUTE demo2 {1.000000,0.000000}
@ATTRIBUTE demo3 REAL
@ATTRIBUTE demo4 REAL
@ATTRIBUTE demo5 {1.000000,0.000000}
@ATTRIBUTE psych1 REAL
@ATTRIBUTE psych2 REAL
@ATTRIBUTE psych3 REAL
@ATTRIBUTE psych4 REAL
@ATTRIBUTE psych5 REAL
@ATTRIBUTE psych6 REAL
@ATTRIBUTE psych7 REAL
@ATTRIBUTE psych8 REAL
@ATTRIBUTE psych9 REAL
@ATTRIBUTE psych10 REAL
@ATTRIBUTE psych11 REAL
@ATTRIBUTE psych12 REAL
@ATTRIBUTE psych13 REAL
@ATTRIBUTE psych14 REAL
@ATTRIBUTE psych15 REAL
@ATTRIBUTE psych16 REAL
@ATTRIBUTE psych17 REAL
@ATTRIBUTE history1 REAL
@ATTRIBUTE history2 REAL
@ATTRIBUTE history3 REAL
@ATTRIBUTE history4 REAL
@ATTRIBUTE history5 REAL
@ATTRIBUTE history6 REAL
@ATTRIBUTE history7 REAL
@ATTRIBUTE history8 REAL
@ATTRIBUTE history9 REAL
@ATTRIBUTE history10 REAL
@ATTRIBUTE history11 REAL
@ATTRIBUTE history12 REAL
@ATTRIBUTE history13 REAL
@ATTRIBUTE history14 REAL
@ATTRIBUTE history15 REAL
@ATTRIBUTE history16 REAL
@ATTRIBUTE history17 REAL
@ATTRIBUTE genetic1 REAL
@ATTRIBUTE genetic2 REAL
@ATTRIBUTE genetic3 REAL
@ATTRIBUTE genetic4 REAL
@ATTRIBUTE genetic5 REAL
@ATTRIBUTE genetic6 REAL
@ATTRIBUTE genetic7 REAL
@ATTRIBUTE genetic8 REAL
@ATTRIBUTE genetic9 REAL
@ATTRIBUTE genetic10 REAL
@ATTRIBUTE genetic11 REAL
@ATTRIBUTE genetic12 REAL
@ATTRIBUTE genetic13 REAL
@ATTRIBUTE genetic14 REAL
@ATTRIBUTE genetic15 REAL
@ATTRIBUTE genetic16 REAL
@ATTRIBUTE genetic17 REAL
@ATTRIBUTE brain1 REAL
@ATTRIBUTE brain2 REAL
@ATTRIBUTE brain3 REAL
@ATTRIBUTE brain4 REAL
@ATTRIBUTE brain5 REAL
@ATTRIBUTE brain6 REAL
@ATTRIBUTE class {1.000000,0.000000}
@DATA
13.794521,0.000000,3.000000,21.000000,1.000000,0.127000,125.000000,122.000000,18.000000,18.000000,23.000000,30.000000,2.600000,2.200000,2.200000,2.000000,2.600000,2.333333,1.833333,2.500000,1.833333,2.333333,0.750000,0.380000,0.000000,0.170000,0.000000,0.330000,0.000000,-1.500000,0.750000,-0.670000,-2.000000,-2.000000,-0.670000,-0.140000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000259,0.000418,0.000566,0.000016,-0.000023,-0.000022,1.000000
14.175342,1.000000,4.000000,25.000000,1.000000,0.046200,112.000000,124.000000,20.000000,28.000000,29.000000,42.000000,1.400000,1.400000,1.400000,1.142857,3.000000,0.916667,2.500000,3.250000,2.583333,4.000000,0.250000,0.250000,0.000000,0.170000,0.200000,0.000000,0.140000,-1.250000,1.000000,-1.330000,-1.670000,-1.200000,-1.000000,-0.430000,0.000000,1.000000,1.000000,2.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,-0.000044,0.001005,-0.000102,0.000801,-0.000489,0.000064,1.000000
14.687671,0.000000,3.000000,19.000000,1.000000,0.005070,123.000000,109.000000,21.000000,29.000000,41.000000,28.000000,3.000000,2.800000,2.800000,1.857143,2.800000,2.083333,2.166667,2.500000,2.500000,1.750000,0.250000,0.250000,0.330000,0.330000,0.000000,0.000000,0.140000,-1.750000,1.000000,0.000000,-1.500000,-2.000000,-0.330000,-0.290000,0.000000,1.000000,1.000000,2.000000,2.000000,0.000000,1.000000,2.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000456,0.000492,0.000726,0.000350,-0.000069,-0.000039,1.000000
14.917808,0.000000,3.000000,19.000000,1.000000,0.014900,86.000000,105.000000,29.000000,26.000000,23.000000,31.000000,2.400000,2.200000,2.200000,2.000000,2.600000,1.500000,1.500000,2.416667,2.250000,2.416667,0.000000,0.380000,0.330000,0.170000,0.000000,0.000000,0.000000,-1.250000,1.380000,-0.670000,-1.170000,-0.600000,-0.330000,0.000000,0.000000,1.000000,1.000000,0.000000,2.000000,0.000000,2.000000,2.000000,1.000000,2.000000,1.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,1.000000,0.000376,0.000905,0.000304,0.000208,-0.000099,0.000056,1.000000
14.413699,1.000000,4.000000,22.000000,1.000000,0.000509,100.000000,77.000000,22.000000,13.000000,30.000000,27.000000,3.000000,2.600000,2.600000,1.571429,1.600000,2.166667,2.166667,2.333333,2.083333,2.833333,0.000000,0.630000,0.330000,0.330000,0.000000,0.330000,0.430000,-1.000000,0.750000,-1.330000,-1.330000,-1.800000,-1.000000,-0.140000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-0.000387,0.000732,0.001543,-0.000360,0.000147,0.000007,1.000000
14.890411,0.000000,4.000000,15.000000,1.000000,0.009740,112.000000,105.000000,29.000000,27.000000,31.000000,31.000000,2.800000,2.600000,2.600000,2.142857,2.200000,1.916667,2.000000,2.416667,1.833333,1.833333,0.500000,0.750000,0.670000,0.330000,0.000000,0.670000,0.430000,-1.250000,0.750000,-0.670000,-0.830000,-1.400000,-1.000000,-0.140000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,-0.000029,0.000695,0.001075,0.000490,0.000013,-0.000146,1.000000
14.610959,1.000000,4.000000,23.000000,1.000000,0.014900,100.000000,105.000000,32.000000,25.000000,25.000000,29.000000,2.800000,3.000000,3.000000,2.285714,3.200000,2.583333,2.166667,1.916667,1.833333,2.083333,1.000000,0.500000,0.330000,0.330000,0.200000,0.670000,0.290000,-0.500000,1.000000,-0.330000,-0.500000,-0.400000,-0.330000,-0.140000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000079,0.000697,0.001234,-0.000582,-0.000646,0.000087,1.000000
14.720000,1.000000,4.000000,23.000000,0.000000,0.002350,103.323308,99.661654,25.000000,18.000000,26.000000,33.000000,2.200000,2.000000,2.000000,2.000000,2.800000,1.500000,2.333333,2.083333,3.083333,2.250000,0.250000,0.630000,0.000000,0.170000,0.200000,0.330000,0.140000,-1.500000,0.630000,-1.330000,-1.330000,-0.800000,-0.330000,-0.430000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,2.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000533,0.000691,-0.001116,0.001372,-0.000033,0.000039,1.000000
14.621918,0.000000,4.000000,11.000000,0.000000,0.011100,110.000000,92.000000,22.000000,18.000000,25.000000,30.000000,2.400000,2.200000,2.200000,2.000000,2.200000,1.750000,1.750000,2.333333,2.833333,2.833333,0.500000,0.500000,0.330000,0.170000,0.200000,0.670000,0.000000,-1.500000,0.880000,-2.000000,-1.670000,-1.400000,0.330000,0.140000,0.000000,1.000000,1.000000,2.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000628,0.001485,-0.000493,0.000203,-0.000105,-0.000026,1.000000
14.560267,0.000000,4.000000,22.000000,1.000000,0.007780,102.820690,104.284722,20.000000,25.000000,31.000000,35.000000,2.800000,2.200000,2.200000,1.857143,2.400000,2.250000,1.916667,2.500000,2.750000,2.333333,0.000000,0.250000,0.000000,0.330000,0.200000,0.330000,0.290000,-2.000000,0.630000,-1.330000,-1.170000,-1.000000,-1.000000,-0.430000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000498,0.000662,-0.000160,0.000330,-0.000116,0.000005,1.000000
